subject,subject_type,predicate,object,object_type,url
transformation,CONCEPT,drive,transformation,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
people,CONCEPT,show,interest,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
interest,CONCEPT,show,interest,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
People,CONCEPT,take,mind,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
mind,CONCEPT,take,mind,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
we,CONCEPT,pursue,research,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
research,CONCEPT,pursue,research,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
understanding,CONCEPT,advance,understanding,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
we,CONCEPT,uncover,more,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
more,CONCEPT,uncover,more,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
we,CONCEPT,lay,groundwork,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
groundwork,CONCEPT,lay,groundwork,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
intelligence,CONCEPT,advance,intelligence,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
thinking,CONCEPT,extend,thinking,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
foundation,CONCEPT,lay,foundation,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
he,CONCEPT,found,Athena,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Athena,ORG,found,Athena,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
that,CONCEPT,bridge,gap,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
gap,CONCEPT,bridge,gap,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Athena,ORG,equip,universities,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
universities,CONCEPT,equip,universities,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
discoveries,CONCEPT,accelerate,discoveries,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Catalyst,ORG,say,Catalyst,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Kornbluth,PERSON,say,Catalyst,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
generosity,CONCEPT,fuel,Quest,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Quest,ORG,fuel,Quest,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
which,CONCEPT,rename,Quest,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Quest,ORG,rename,Quest,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
College,ORG,support,College,ORG,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
future,CONCEPT,shape,future,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
role,CONCEPT,take,role,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
scientists,CONCEPT,present,work,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
work,CONCEPT,present,work,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
papers,CONCEPT,publish,papers,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
tools,CONCEPT,develop,tools,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
we,CONCEPT,do,it,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
it,CONCEPT,do,it,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
tools,CONCEPT,use,tools,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
That,CONCEPT,give,insights,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
insights,CONCEPT,give,insights,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
challenges,CONCEPT,face,challenges,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
fundamentals,CONCEPT,understand,fundamentals,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
missions,CONCEPT,integrate,missions,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
investigators,CONCEPT,integrate,missions,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
efforts,CONCEPT,integrate,missions,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
impact,CONCEPT,increase,impact,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
Mission,PRODUCT,launch,Mission,PRODUCT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
that,CONCEPT,mirror,intelligence,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
intelligence,CONCEPT,mirror,intelligence,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
we,CONCEPT,evaluate,models,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
models,CONCEPT,evaluate,models,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
what,CONCEPT,do,what,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
humans,CONCEPT,do,what,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
questions,CONCEPT,ask,questions,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
tasks,CONCEPT,pick,tasks,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
that,CONCEPT,test,models,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
models,CONCEPT,test,models,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
tasks,CONCEPT,pick,tasks,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
tasks,CONCEPT,choose,tasks,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
that,CONCEPT,elicit,something,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
something,CONCEPT,elicit,something,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
chapter,CONCEPT,celebrate,chapter,CONCEPT,https://news.mit.edu/2026/continued-commitment-to-understanding-intelligence-0114
intelligence,CONCEPT,capture,headlines,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
headlines,CONCEPT,capture,headlines,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,enable,training,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
training,CONCEPT,enable,training,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
it,CONCEPT,’,news,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
tools,CONCEPT,have,potential,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
potential,CONCEPT,have,potential,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
forms,CONCEPT,reduce,forms,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
grids,CONCEPT,enable,grids,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
One,CARDINAL,use,AI,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
AI,CONCEPT,use,AI,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
grid,CONCEPT,optimize,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
which,CONCEPT,improve,efficiency,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
efficiency,CONCEPT,improve,efficiency,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
resilience,CONCEPT,increase,resilience,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
integration,CONCEPT,enable,integration,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
more,CONCEPT,learn,more,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
learning,CONCEPT,apply,learning,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
grid,CONCEPT,optimize,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
balance,CONCEPT,maintain,balance,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
we,CONCEPT,have,uncertainty,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
uncertainty,CONCEPT,have,uncertainty,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
companies,CONCEPT,ask,customers,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
customers,CONCEPT,ask,customers,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
amount,CONCEPT,register,amount,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
That,CONCEPT,become,issue,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
uncertainty,CONCEPT,have,impact,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
impact,CONCEPT,have,impact,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
combination,CONCEPT,use,combination,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
predictions,CONCEPT,make,predictions,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
resources,CONCEPT,utilize,resources,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
problems,CONCEPT,tackle,problems,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,solve,that,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
operators,CONCEPT,solve,that,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
supply,CONCEPT,balance,supply,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,reduce,costs,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
costs,CONCEPT,reduce,costs,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
generators,CONCEPT,produce,power,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
power,CONCEPT,produce,power,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
much,CONCEPT,produce,much,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
they,CONCEPT,produce,much,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
they,CONCEPT,produce,it,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
it,CONCEPT,produce,it,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
we,CONCEPT,leverage,flexibility,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
flexibility,CONCEPT,leverage,flexibility,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
operators,CONCEPT,use,approximations,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
approximations,CONCEPT,use,approximations,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
they,CONCEPT,solve,them,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
them,CONCEPT,solve,them,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
we,CONCEPT,integrate,energy,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
energy,CONCEPT,integrate,energy,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
approximations,CONCEPT,provide,approximations,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
operators,CONCEPT,manage,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
grid,CONCEPT,manage,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
Planning,CONCEPT,require,one,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
one,CONCEPT,require,one,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
models,CONCEPT,use,models,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
AI,CONCEPT,play,role,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
role,CONCEPT,play,role,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
models,CONCEPT,run,models,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
inefficiencies,CONCEPT,reduce,inefficiencies,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
experimentation,CONCEPT,accelerate,experimentation,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
batteries,CONCEPT,create,batteries,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
which,CONCEPT,allow,integration,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
integration,CONCEPT,allow,integration,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
you,CONCEPT,use,model,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
model,CONCEPT,use,model,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
energy,CONCEPT,consume,energy,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
you,CONCEPT,use,models,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
models,CONCEPT,use,models,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
applications,CONCEPT,enable,benefits,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
benefits,CONCEPT,enable,benefits,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
renewables,CONCEPT,incorporate,renewables,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
strategies,CONCEPT,support,strategies,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,have,benefits,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
benefits,CONCEPT,have,benefits,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
algorithms,CONCEPT,develop,algorithms,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,respect,constraints,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
constraints,CONCEPT,respect,constraints,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
we,CONCEPT,deploy,them,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
them,CONCEPT,deploy,them,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
LLM,CONCEPT,say,something,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
something,CONCEPT,say,something,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
you,CONCEPT,make,magnitude,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
magnitude,CONCEPT,make,magnitude,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
you,CONCEPT,optimize,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
grid,CONCEPT,optimize,grid,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
that,CONCEPT,cause,blackout,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
blackout,CONCEPT,cause,blackout,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
models,CONCEPT,build,models,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
this,CONCEPT,provide,opportunity,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
opportunity,CONCEPT,provide,opportunity,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
those,CONCEPT,put,efforts,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
efforts,CONCEPT,put,efforts,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
system,CONCEPT,foster,system,CONCEPT,https://news.mit.edu/2026/3-questions-how-ai-could-optimize-power-grid-0109
industry,CONCEPT,withhold,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,withhold,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Billions,CARDINAL,use,models,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
models,CONCEPT,use,models,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
images,CONCEPT,generate,images,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,build,future,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
future,CONCEPT,build,future,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
team,CONCEPT,publish,Index,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
Index,CONCEPT,publish,Index,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
FMTI,CONCEPT,score,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,score,companies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
discrepancies,CONCEPT,find,discrepancies,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,prioritize,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,prioritize,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
that,CONCEPT,assess,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
transparency,CONCEPT,assess,transparency,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
that,CONCEPT,span,topics,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
topics,CONCEPT,span,topics,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
companies,CONCEPT,score,points,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
points,CONCEPT,score,points,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
performers,CONCEPT,score,75,CARDINAL,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
75,CARDINAL,score,75,CARDINAL,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
scorers,CONCEPT,average,15,CARDINAL,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
15,CARDINAL,average,15,CARDINAL,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
IBM,ORG,score,score,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
score,CONCEPT,score,score,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
IBM,ORG,set,precedent,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
precedent,CONCEPT,set,precedent,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
information,CONCEPT,disclose,information,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
company,CONCEPT,share,practices,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
practices,CONCEPT,share,practices,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
detail,CONCEPT,provide,detail,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
researchers,CONCEPT,replicate,data,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
data,CONCEPT,replicate,data,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
access,CONCEPT,grant,access,CONCEPT,https://hai.stanford.edu/news/transparency-in-ai-is-on-the-decline
